,volume_2020,volume_2021
0x014688344Feb72e3eef6C7Fd8803c05015166334,476.0,0.0
0x014A6BFAE7d9e29F4d1bea1296062B9cd418a629,697.0,10.0
0x014b190711325F8ad9F3C35304d0175464EF191c,529.0,0.0
0x014d1FD44dC43F85A337B5e1895d88e33aA23C71,440.0,0.0
0x014dd1DBCbeCdEBa7824871F7437238EC0D6D9A4,355.0,0.0
0x014f8cec634cE68B7c429141C4Cc8f6581Ba177b,400.0,0.0
0x014fCabF8CC155527058E9Db0506c437C3a3D0d6,377.0,0.0
0x014fF481f51647FCEB3174f3512cE63ebe8888Ed,4065.0,0.0
0x0150f4c337B5c7A4e1A642B2537619bE265a7F7D,100.0,0.0
0x0155589be9a0d9023DfCD870c4FB12828e3e6Ef0,395.0,0.0
0x0155FEc655Dd124B29AE1956c718DBC64509a261,2000.0,0.0
0x0156B7fB688FC564F03e1a58B7f66fcBDfC0c249,425.0,0.0
0x015b5c163d6AaAc78aa7e942b1D4C04D807Fb258,400.0,0.0
0x015cC22c3b751cf4f98C6eC8d898D6640B5Ca8e0,21889.0,0.0
0x01600cb57A9B9A391675Eb662e668726950511F4,415.0,0.0
0x0162884b2BC7Ac931628Eb8E39b0ee4B1319e0bd,710.0,0.0
0x0162acE0537Ca75e874Caa3d5E770C1e037B8771,557.0,0.0
0x016A014027B3c7F46ea17912F2f22fe855CE7B9E,400.0,0.0
0x016D8491008e52AbA9462B540609f7Eb8124C16D,2658.0,0.0
0x016F2059EA21CFeCaCE9E04d1E6F4F8327951b88,151895.0,73102.0
0x016a61e27cEEa7051B6313061A3bB709e034d2F0,400.0,0.0
0x016aE8FD78187E35aE4d394bF1A6fb0e8BFc7dD6,440.0,0.0
0x0171b3eAE1A24677A6227Dee558e172F12DD363A,52670.0,0.0
0x0172e4FF7a7Aebfe776c0e3563bd432646789053,15168.0,10.0
0x01765B77F74F7dC0B1fFCabeA2e8E33872F56A89,400.0,0.0
0x017A5f418b95958942C319D6225a661149bDF9e6,161181.0,0.0
0x017f3E534A103724a0573c6dc56Bf9129df00c1c,410.0,0.0
0x0180498028e4b175548eb00D087aa3BF863f62FB,440.0,0.0
0x0183e87e10E46F721fEAbB10faC2843B5D53C978,180.0,1111.0
0x0184847AcC78541EC5A40fcC2a98C126688aA48F,50.0,210.0
0x01893Fb0159Ca2c3A177cfE0eB0913bd7157c8E2,568.0,0.0
0x018Bb1F11aBfAa4D31fFd6e2DA1880ef343E6CBD,400.0,0.0
0x018Ea7A23cA3a37A11552FF02A54a16940D4D781,400.0,0.0
0x018b44353215A90eA62FB0AaC3515429c5eC8176,1677.0,4100.0
0x018d4f49D3065DFB31891CF8F592BcF4e3202d07,649.0,0.0
0x0193606Fc293d283260f45fa818e57Ab24FCf78b,410.0,0.0
0x019820e0d63eCeA12a9c261693dF5aa1E89bEAd2,10055.0,0.0
0x019C5C8eBD9B3dF30160d62fe9c5B80aFF88D443,14830.0,0.0
0x01A66B943e85dF758D00d6D5f5b500761E27AD74,500.0,0.0
0x01A7c6BccDffBB5b8AF2B936bB74143b15C24f83,250.0,0.0
0x01A820b01C67DBe7C472fE5E710f01A4E22FAA7F,538.0,0.0
0x01AE0F28469929C0CB72cD809EDd49c8c702977D,3423.0,56.0
0x01Aa9B2707f97b671e6622Ee2782d400a41f33c4,56200.0,0.0
0x01B0fdB9332739C152b33a5045De1e7652B5D04f,21874.0,8279.0
