count,mean,std,min,25%,50%,75%,max,community_id,centrality,retention_label
206.0,18.42718446601942,20.06482272681444,2.0,5.0,10.0,25.75,116.0,3.0,degree,not_retained
21.0,14.80952380952381,13.49303171129101,3.0,3.0,9.0,23.0,45.0,3.0,degree,retained
206.0,2.015471816890897e-05,4.109860404575921e-05,0.0,2.7391562770101882e-08,3.1636635549264876e-06,1.8431598884575205e-05,0.0002487618822381,3.0,betweenness,not_retained
21.0,1.0859416063589825e-05,1.6221418817937934e-05,0.0,5.413445317271391e-08,4.384339981491021e-06,1.1928870582691698e-05,6.313299615215838e-05,3.0,betweenness,retained
206.0,0.4994365731902999,0.0042047892530316655,0.4649499125279966,0.4999161335154434,0.4999341025364532,0.4999820262416871,0.5003297480724727,3.0,closeness,not_retained
21.0,0.49994893895593107,4.509406696584248e-05,0.4999101441288174,0.4999101441288174,0.4999281127192562,0.4999760352760736,0.5000419437953143,3.0,closeness,retained
206.0,0.7838867340050445,0.23234091377295243,0.1621730382293762,0.6428571428571429,0.8452991452991453,1.0,1.0,3.0,clustering,not_retained
21.0,0.7846574380784908,0.204446009054005,0.4736842105263157,0.6025641025641025,0.6813186813186813,1.0,1.0,3.0,clustering,retained
206.0,7.58252427184466,4.490693404754503,2.0,4.0,6.0,11.0,17.0,3.0,kshell,not_retained
21.0,6.761904761904762,4.182161664794439,3.0,3.0,5.0,10.0,14.0,3.0,kshell,retained
206.0,18246.111650485436,33792.54257076891,200.0,847.0,3902.5,17527.25,192227.0,3.0,weighted_degree,not_retained
21.0,9825.333333333334,19884.99104936518,150.0,150.0,1331.0,6852.0,78766.0,3.0,weighted_degree,retained
209.0,11.052631578947368,14.556656726760053,3.0,3.0,4.0,14.0,103.0,4.0,degree,not_retained
18.0,33.666666666666664,32.09911122097418,3.0,7.25,22.0,50.25,124.0,4.0,degree,retained
209.0,1.76937161823244e-05,7.220545807596714e-05,0.0,0.0,5.7437681479739426e-11,9.208634611720186e-06,0.0009156411035591,4.0,betweenness,not_retained
18.0,6.284860892437953e-05,0.0001891457639498658,0.0,2.4209268980597776e-06,1.0792551958304821e-05,3.918313787211177e-05,0.0008157358531822,4.0,betweenness,retained
209.0,0.4996050543392383,0.003416312450504001,0.4649343703340539,0.4999101441288174,0.4999101441288174,0.4999460826014545,0.5002937544213037,4.0,closeness,not_retained
18.0,0.5000223327149385,0.00012635519942466982,0.4999101441288174,0.499922123045588,0.4999880199353239,0.500082396276573,0.5004077520867313,4.0,closeness,retained
209.0,0.8497858719140883,0.2191136115702755,0.1488014473089099,0.738562091503268,1.0,1.0,1.0,4.0,clustering,not_retained
18.0,0.6425822294940082,0.2858832079453946,0.1239398084815321,0.4165708312302115,0.6378787878787879,0.9642857142857143,1.0,4.0,clustering,retained
209.0,5.559808612440191,3.76439697409549,3.0,3.0,3.0,7.0,16.0,4.0,kshell,not_retained
18.0,10.0,5.201809639866857,3.0,4.25,11.5,14.0,20.0,4.0,kshell,retained
209.0,9191.73830612913,25670.154688263796,200.0,500.0,720.0,6395.0,237253.0,4.0,weighted_degree,not_retained
18.0,72592.66666666667,84296.4325258681,150.0,2986.5,43395.0,112620.0,264321.0,4.0,weighted_degree,retained
575.0,15.728695652173913,24.04009704051369,3.0,4.0,6.0,17.0,276.0,5.0,degree,not_retained
26.0,10.307692307692308,12.679966027617679,3.0,3.25,5.5,8.75,50.0,5.0,degree,retained
575.0,1.8065220276010747e-05,6.490636129376666e-05,0.0,0.0,5.074484651449798e-07,7.938457455766842e-06,0.0009702581279828,5.0,betweenness,not_retained
26.0,1.1293660679807131e-05,2.9767340044767265e-05,0.0,0.0,8.304380130017435e-07,6.082106005414112e-06,0.0001277914988873,5.0,betweenness,retained
