user,motif_type,peers,user_count,global_count
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x3d4954143905471CD1C43F76392524c4eE0c39af')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x8979B16327fc362B2991344Ae8614F223E0AFa33')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x76f4aFB48cf340E8423889E82dD3Ad5c3bAA9941', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xFeeae8619e0524D2D586f3d35188FBA871CD6461', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7', '0xefe73D9cDbcF240f563564b92e3F755B9984AF1e')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0Ea500264133226dEb742F3276508f9085EB1190', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xDBbE0a2f6Fbc182f5606ED66367C019a934C7a31', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xEe5Ac3ecAEDaA2F6B434D9c43B69E18C1A466aF9', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xE133b906915Ea963C04e5b467866d0a4894F82Cc', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x5fe49C19e74Af46053C9dD1eA44f5755Ee643b90', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xDd001826421DA5B0dcFf3E652fE429103Fe6faA1', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xCc9c78C92f796962a1290e423Ba72f62b5dF31DC', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xC10fF4f7dA801a365a75516E9a0763F82333E6F8', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xbBD117dBE7a479082D33b6Cc03299C0DE3750b80', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x12fC541d205ec0425F424fcd47b788aC80110999', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7', '0xf4e94AfA6340D8544Aebc30b6f5882905EC79c7f')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0xFeeae8619e0524D2D586f3d35188FBA871CD6461')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0xDd001826421DA5B0dcFf3E652fE429103Fe6faA1')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0xefe73D9cDbcF240f563564b92e3F755B9984AF1e')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0xE133b906915Ea963C04e5b467866d0a4894F82Cc')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0x76f4aFB48cf340E8423889E82dD3Ad5c3bAA9941')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0xFeCbc325Ea7bd25d7Fb25F2664152c801e3160b1')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC', '0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0xEe5Ac3ecAEDaA2F6B434D9c43B69E18C1A466aF9')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0x7c361924Bf16ef8688FfD1bE80be53Db81f94aa8')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0Ea500264133226dEb742F3276508f9085EB1190', '0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0xC74376037EA1e7672b928e1B8b66043cdCAd9cc6')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0xe6f7Aed76ceF4f8D71513ad299f5ec0835339c74')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0xf4e94AfA6340D8544Aebc30b6f5882905EC79c7f')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x12fC541d205ec0425F424fcd47b788aC80110999', '0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0486e4B42e6e1945Ed72045DDF769eDA49904954', '0x695Ed0e53DCC20A48A0AcD09e2Ef98A0ADb0C3be')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x12D7a6ED9D9c1354f872DF5E78cC19d7Ab0910af', '0x55997CFF569bF1e8F168eA712F964540551FB3d1')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x7913BFB56B61a10854e4Fc6d0aCb395483dcdB9b', '0xE8FF25F1ea3957Ec093CD6e65e188D1f2692075d')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x914caA04a1bAC38065F26b18c12100B002252b50', '0x98fAa0ddC27caFA22ad69353228d8D8D6d7Be2F8')",6,6
